COM5
2023-12-07 20:11:21
00000
0700190007001900070019000700190007001900
0000000000
0700190007001900070019000700190007001900
0000000000
141220231412202314122023281220231412202307000700070007000700
0700190007001900070019000700190007001900
0000000000
211220232112202321122023211220232112202307000700070007000700
0700190007001900070019000700190007001900
0000000000
281220232812202328122023281220232812202307000700070007000700
0700190007001900070019000700190007001900
0000000000
040120240401202404012024040120230401202407000700070007000700
0700190007001900070019000700190007001900
0000000000
110120241101202411012024110120241101202407000700070007000700
0700190007001900070019000700190007001900
0000000000
180120241801202418012024180120241801202407000700070007000700
0700190007001900070019000700190007001900
0000000000
250120242501202425012024250120242501202407000700070007000700
0700190007001900070019000700190007001900
0000000000
010220240102202401022024010220240102202407000700070007000700
0700190007001900070019000700190007001900
0000000000
080220240802202408022024080220240802202407000700070007000700
0700190007001900070019000700190007001900
0000000000
150220241502202415022024150220241502202407000700070007000700
0700190007001900070019000700190007001900
0000000000
220220242202202422022024220220242202202407000700070007000700
272824242424242424242424242424242424242424242424242424242424
242324242424242424242424242424242424242424242424242424242424
HH:MM:SS MO/DY/YEAR LED01 PIR01 LUM01 LED02 PIR02 LUM02 LED03 PIR03 LUM03 LED04 PIR04 LUM04 LED05 PIR05 LUM05
20:13:00 12/07/2023 00000 00000 00254 00000 00000 00071 00000 00000 00036 00000 00000 00065 00000 00000 00051  
20:14:00 12/07/2023 00000 00000 00249 00000 00000 00069 00000 00000 00036 00000 00000 00064 00000 00000 00050  
20:15:00 12/07/2023 00000 00000 00217 00000 00000 00065 00000 00000 00034 00000 00000 00059 00000 00000 00052  
20:16:00 12/07/2023 00000 00000 00240 00000 00000 00068 00000 00000 00036 00000 00000 00055 00000 00000 00061  
20:17:00 12/07/2023 00000 00000 00174 00000 00000 00056 00000 00000 00030 00000 00000 00052 00000 00000 00054  
20:18:00 12/07/2023 00000 00000 00153 00000 00000 00054 00000 00000 00030 00000 00000 00056 00000 00000 00053  
20:19:00 12/07/2023 00000 00000 00178 00000 00000 00059 00000 00000 00032 00000 00000 00062 00000 00000 00063  
20:20:00 12/07/2023 00000 00000 00177 00000 00000 00059 00000 00000 00032 00000 00000 00063 00000 00000 00062  
20:21:00 12/07/2023 00000 00000 00166 00000 00000 00057 00000 00000 00031 00000 00000 00060 00000 00000 00057  
20:22:00 12/07/2023 00000 00000 00174 00000 00000 00058 00000 00000 00031 00000 00000 00059 00000 00000 00060  
20:23:00 12/07/2023 00000 00000 00244 00000 00000 00069 00000 00000 00034 00000 00000 00062 00000 00000 00061  
20:24:00 12/07/2023 00000 00000 00228 00000 00000 00066 00000 00000 00033 00000 00000 00055 00000 00000 00058  
20:25:00 12/07/2023 00000 00000 00246 00000 00000 00070 00000 00000 00035 00000 00000 00064 00000 00000 00062  
20:26:00 12/07/2023 00000 00000 00232 00000 00000 00069 00000 00000 00034 00000 00000 00061 00000 00000 00056  
20:27:00 12/07/2023 00000 00000 00228 00000 00000 00070 00000 00000 00034 00000 00000 00058 00000 00000 00058  
20:28:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:29:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:30:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:31:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:32:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:33:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:34:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:35:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:36:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:37:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:38:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:39:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:40:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:41:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:42:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:43:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:44:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:45:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:46:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:47:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:48:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:49:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:50:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
20:51:00 12/07/2023 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
10:11:00 12/08/2023 00001 00000 00144 00001 00000 00044 00001 00191 00028 00001 00191 00061 00001 00000 00047  
10:12:00 12/08/2023 00001 00000 00217 00001 00000 00100 00001 00191 00056 00001 00191 00087 00001 00000 00059  
10:13:00 12/08/2023 00001 00000 00222 00001 00000 00108 00001 00191 00057 00001 00191 00080 00001 00000 00065  
10:14:00 12/08/2023 00001 00000 00225 00001 00000 00097 00001 00191 00056 00001 00191 00081 00001 00000 00069  
10:15:00 12/08/2023 00001 00000 00236 00001 00000 00100 00001 00191 00059 00001 00191 00085 00001 00000 00075  
10:16:00 12/08/2023 00001 00000 00237 00001 00000 00100 00001 00191 00060 00001 00191 00086 00001 00000 00076  
10:17:00 12/08/2023 00001 00000 00238 00001 00000 00101 00001 00191 00061 00001 00191 00091 00001 00000 00069  
10:18:00 12/08/2023 00001 00000 00239 00001 00000 00103 00001 00191 00059 00001 00191 00094 00001 00000 00058  
10:19:00 12/08/2023 00001 00000 00238 00001 00000 00104 00001 00191 00058 00001 00191 00094 00001 00000 00059  
10:20:00 12/08/2023 00001 00000 00238 00001 00000 00103 00001 00191 00057 00001 00191 00094 00001 00000 00059  
10:21:00 12/08/2023 00001 00000 00240 00001 00000 00104 00001 00191 00058 00001 00191 00095 00001 00000 00060  
10:22:00 12/08/2023 00001 00000 00242 00001 00000 00105 00001 00191 00059 00001 00191 00096 00001 00000 00062  
10:23:00 12/08/2023 00001 00000 00242 00001 00000 00106 00001 00191 00060 00001 00191 00097 00001 00000 00062  
10:24:00 12/08/2023 00001 00000 00240 00001 00000 00100 00001 00191 00058 00001 00191 00098 00001 00000 00063  
10:25:00 12/08/2023 00001 00000 00244 00001 00000 00096 00001 00191 00057 00001 00191 00099 00001 00000 00068  
10:26:00 12/08/2023 00001 00000 00249 00001 00000 00098 00001 00191 00059 00001 00191 00101 00001 00000 00070  
10:27:00 12/08/2023 00001 00000 00249 00001 00000 00098 00001 00191 00059 00001 00191 00101 00001 00000 00071  
10:28:00 12/08/2023 00001 00000 00249 00001 00000 00098 00001 00191 00059 00001 00191 00101 00001 00000 00071  
10:29:00 12/08/2023 00001 00000 00248 00001 00000 00098 00001 00191 00059 00001 00191 00101 00001 00000 00071  
10:30:00 12/08/2023 00001 00000 00248 00001 00000 00097 00001 00191 00058 00001 00191 00101 00001 00000 00071  
10:31:00 12/08/2023 00001 00000 00248 00001 00000 00098 00001 00191 00058 00001 00191 00101 00001 00000 00071  
10:32:00 12/08/2023 00001 00000 00248 00001 00000 00098 00001 00191 00058 00001 00191 00101 00001 00000 00071  
10:33:00 12/08/2023 00001 00000 00248 00001 00000 00098 00001 00191 00059 00001 00191 00101 00001 00000 00071  
10:34:00 12/08/2023 00001 00000 00248 00001 00000 00098 00001 00191 00059 00001 00191 00101 00001 00000 00071  
10:35:00 12/08/2023 00001 00000 00248 00001 00000 00098 00001 00191 00059 00001 00191 00101 00001 00000 00071  
10:36:00 12/08/2023 00001 00000 00246 00001 00000 00096 00001 00191 00057 00001 00191 00100 00001 00000 00070  
10:37:00 12/08/2023 00001 00000 00246 00001 00000 00095 00001 00191 00056 00001 00191 00099 00001 00000 00069  
10:38:00 12/08/2023 00001 00000 00246 00001 00000 00095 00001 00191 00056 00001 00191 00099 00001 00000 00069  
10:39:00 12/08/2023 00001 00000 00247 00001 00000 00096 00001 00191 00056 00001 00191 00099 00001 00000 00070  
10:40:00 12/08/2023 00001 00000 00246 00001 00000 00095 00001 00191 00055 00001 00191 00098 00001 00000 00068  
10:41:00 12/08/2023 00001 00000 00247 00001 00000 00095 00001 00191 00055 00001 00191 00098 00001 00000 00069  
10:42:00 12/08/2023 00001 00000 00246 00001 00000 00095 00001 00191 00055 00001 00191 00098 00001 00000 00069  
10:43:00 12/08/2023 00001 00000 00246 00001 00000 00095 00001 00191 00055 00001 00191 00098 00001 00000 00069  
10:44:00 12/08/2023 00001 00000 00247 00001 00000 00095 00001 00191 00055 00001 00191 00098 00001 00000 00069  
10:45:00 12/08/2023 00001 00000 00247 00001 00000 00096 00001 00191 00056 00001 00191 00100 00001 00000 00070  
