/dev/ttyACM0
2022-07-20 16:06:01
0700190007001900070019000700190007001900
0000000000
0700190007001900070019000700190007001900
0000000000
270720222707202227072022270720222707202207000700070007000700
0700190007001900070019000700190007001900
0000000000
030820220308202203082022030820220308202207000700070007000700
0700190007001900070019000700190007001900
0000000000
100820221008202210082022100820221008202207000700070007000700
0700190007001900070019000700190007001900
0000000000
170820221708202217082022170820221708202207000700070007000700
0700190007001900070019000700190007001900
0000000000
240820222408202224082022240820222408202207000700070007000700
0700190007001900070019000700190007001900
0000000000
310820223108202231082022310820223108202207000700070007000700
0700190007001900070019000700190007001900
0000000000
070920220709202207092022070920220709202207000700070007000700
0700190007001900070019000700190007001900
0000000000
140920221409202214092022140920221409202207000700070007000700
0700190007001900070019000700190007001900
0000000000
210920222109202221092022210920222109202207000700070007000700
0700190007001900070019000700190007001900
0000000000
280920222809202228092022280920222809202207000700070007000700
0700190007001900070019000700190007001900
0000000000
051020220510202205102022051020220510202207000700070007000700
HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05
16:07:59 07/20/2022 00001 00000 00001 00025 00001 00000 00001 00024 00001 00000  
16:08:59 07/20/2022 00001 00000 00001 00025 00001 00000 00001 00073 00001 00000  
16:09:59 07/20/2022 00001 00000 00001 00000 00001 00000 00001 00074 00001 00000  
16:10:59 07/20/2022 00001 00000 00001 00100 00001 00000 00001 00147 00001 00000  
16:11:59 07/20/2022 00001 00000 00001 00097 00001 00000 00001 00173 00001 00000  
16:12:59 07/20/2022 00001 00000 00001 00096 00001 00000 00001 00104 00001 00000  
16:13:59 07/20/2022 00001 00000 00001 00183 00001 00000 00001 00165 00001 00000  
16:14:59 07/20/2022 00001 00000 00001 00049 00001 00000 00001 00049 00001 00048  
16:15:59 07/20/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000  
16:16:59 07/20/2022 00001 00000 00001 00044 00001 00000 00001 00068 00001 00000  
16:17:59 07/20/2022 00001 00000 00001 00050 00001 00000 00001 00024 00001 00000  
16:18:59 07/20/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000  
16:19:59 07/20/2022 00001 00000 00001 00024 00001 00000 00001 00048 00001 00000  
16:20:59 07/20/2022 00001 00000 00001 00024 00001 00000 00001 00000 00001 00000  
16:21:59 07/20/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000  
16:22:59 07/20/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000  
16:23:59 07/20/2022 00001 00000 00001 00012 00001 00000 00001 00041 00001 00048  
16:24:59 07/20/2022 00001 00000 00001 00003 00001 00000 00001 00025 00001 00066  
16:25:59 07/20/2022 00001 00000 00001 00000 00001 00000 00001 00024 00001 00048  
16:26:59 07/20/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00097  
16:27:59 07/20/2022 00001 00000 00001 00025 00001 00025 00001 00050 00001 00126  
