/dev/ttyACM0
2022-07-12 15:08:57
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
190720221907202219072022190720221907202207000700070007000700
190720221907202219072022190720221907202207000700070007000700
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
090820220908202209082022090820220908202207000700070007000700
090820220908202209082022090820220908202207000700070007000700
HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05 LED06 PIR06 LED07 PIR07 LED08 PIR08 LED09 PIR09 LED10 PIR10
15:52:00 07/12/2022 00001 00192 00001 00016 00001 00000 00001 00192 00001 00238 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:53:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:55:00 07/12/2022 00001 00076 00001 00074 00001 00000 00001 00037 00001 00072 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:56:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:57:00 07/12/2022 00001 00077 00001 00037 00001 00000 00001 00037 00001 00076 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:58:00 07/12/2022 00001 00191 00001 00037 00001 00000 00001 00222 00001 00098 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:59:00 07/12/2022 00001 00115 00001 00000 00001 00000 00001 00259 00001 00073 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:00:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:01:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00111 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:02:00 07/12/2022 00001 00115 00001 00038 00001 00037 00001 00294 00001 00099 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:04:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:05:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:06:00 07/12/2022 00001 00116 00001 00057 00001 00036 00001 00110 00001 00073 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:07:00 07/12/2022 00001 00077 00001 00202 00001 00036 00001 00111 00001 00090 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:08:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:09:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:10:00 07/12/2022 00001 00114 00001 00038 00001 00000 00001 00183 00001 00221 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:11:00 07/12/2022 00001 00039 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:13:00 07/12/2022 00001 00038 00001 00038 00001 00000 00001 00041 00001 00067 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:14:00 07/12/2022 00001 00076 00001 00000 00001 00000 00001 00111 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:15:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:16:00 07/12/2022 00001 00076 00001 00037 00001 00036 00001 00074 00001 00087 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:17:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:18:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:19:00 07/12/2022 00001 00038 00001 00038 00001 00000 00001 00074 00001 00088 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:20:00 07/12/2022 00001 00039 00001 00038 00001 00037 00001 00185 00001 00170 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:22:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
